Vertragsnummer,Vertragsbeginn,Vertragsende,Vertragsstatus
383ca9e3c03c,2024-08-02,2025-08-02,gekündigt
3abd605a6308,2021-09-16,2022-09-16,gekündigt
aaa987bcfbea,2023-11-19,,aktiv
6996b3be463d,2024-11-12,2025-11-12,gekündigt
2c666f2dc417,2021-04-17,,aktiv
51176475937f,2021-10-04,,aktiv
2f5395d405a7,2024-04-07,2025-04-07,gekündigt
bc6acca86d90,2022-12-12,,aktiv
1a17054e5387,2020-06-06,2021-06-06,abgelaufen
fc887587fd33,2024-12-20,,aktiv
bba9f8563adc,2023-04-03,2024-04-02,abgelaufen
5d98e86146f4,2021-01-12,,aktiv
d1fc13a06057,2022-07-14,2023-07-14,gekündigt
16440dbf9ce6,2024-08-21,2025-08-21,gekündigt
ce3f2175d2ae,2024-12-18,2025-12-18,abgelaufen
ccefe8b8fc33,2020-09-14,,aktiv
d43dce083519,2024-07-16,2025-07-16,gekündigt
32465ca60ea4,2022-08-10,2023-08-10,gekündigt
acdda880843e,2023-06-11,,aktiv
fd6da469185c,2024-04-01,2025-04-01,abgelaufen
51c0ea95594b,2020-09-19,2021-09-19,gekündigt
4c40b578ffba,2024-06-26,,aktiv
5015560c7a0e,2023-05-13,2024-05-12,abgelaufen
63a84b244095,2020-09-29,2021-09-29,gekündigt
a8579812801e,2024-06-12,2025-06-12,abgelaufen
c58ccb0b11ed,2021-07-09,2022-07-09,gekündigt
1d54e15fc06a,2020-01-29,2021-01-28,gekündigt
c36ae80ebe29,2023-04-09,2024-04-08,abgelaufen
677e515f3003,2023-05-24,,aktiv
25495fedb027,2024-01-22,,aktiv
28bc183e4c34,2022-03-01,,aktiv
4c0b599e036b,2023-01-15,,aktiv
04a602fe8508,2022-09-18,2023-09-18,abgelaufen
f4072ef7739e,2023-07-09,,aktiv
fcd4cdd9bfd0,2022-10-23,2023-10-23,gekündigt
88c05c926708,2021-01-26,2022-01-26,abgelaufen
c0f433bcd6b9,2024-11-24,2025-11-24,abgelaufen
61e7e7f7b16e,2024-06-28,2025-06-28,gekündigt
1121dcd7a459,2024-03-25,,aktiv
62062e2e8830,2024-04-16,2025-04-16,abgelaufen
7c2420059b89,2024-01-17,,aktiv
1860144587b0,2020-06-18,2021-06-18,gekündigt
cd7a458838fd,2024-01-26,2025-01-25,abgelaufen
a59545ffe977,2023-03-07,2024-03-06,gekündigt
03301da0a7a4,2024-03-11,2025-03-11,abgelaufen
75b86efac134,2023-03-18,,aktiv
8bf8bc5231a1,2024-12-08,2025-12-08,gekündigt
ab807a0f4102,2022-12-17,2023-12-17,abgelaufen
1251feeae9dc,2024-11-27,,aktiv
b00863dcf664,2022-11-18,,aktiv
801166b886d1,2021-03-29,2022-03-29,gekündigt
44e6fc39e6e3,2021-06-27,2022-06-27,abgelaufen
9820966899b3,2024-05-15,2025-05-15,gekündigt
9c34c4734ed5,2023-01-02,2024-01-02,gekündigt
812da4cd6011,2024-10-02,2025-10-02,abgelaufen
c9ae85344d6b,2022-09-25,,aktiv
155d037b6d43,2023-11-30,2024-11-29,gekündigt
d9de6bf45af0,2024-02-07,2025-02-06,gekündigt
8783480d6cd7,2023-04-05,2024-04-04,abgelaufen
390100f0d40f,2024-10-13,,aktiv
8c6d9aa4d83b,2024-03-12,2025-03-12,abgelaufen
35e5a6e05e82,2022-05-01,2023-05-01,gekündigt
d29ac50c966e,2023-04-15,,aktiv
712880ae8007,2021-11-27,2022-11-27,gekündigt
0f45c5d9c20f,2021-03-13,,aktiv
2bcdfec6f180,2022-06-09,2023-06-09,abgelaufen
bc3aabb3a80f,2023-06-09,2024-06-08,abgelaufen
2a6b214b4315,2021-10-23,,aktiv
4dca6d0e9f06,2023-02-25,2024-02-25,abgelaufen
6959dd3c0878,2024-08-27,,aktiv
e09f0eb8afbd,2020-02-05,2021-02-04,gekündigt
cc438e0ed585,2020-10-02,,aktiv
2aecd1b51afa,2024-12-27,,aktiv
4a25d58e2992,2020-04-27,2021-04-27,gekündigt
ca3f6758df56,2023-09-25,2024-09-24,gekündigt
03853fe7dee8,2024-03-25,2025-03-25,abgelaufen
ef997d23b52d,2023-10-07,,aktiv
a03fb8543832,2021-07-24,2022-07-24,abgelaufen
eda27a498bb9,2022-01-08,2023-01-08,gekündigt
c731eb8ec1a0,2022-11-14,2023-11-14,gekündigt
4b791a66f0e9,2020-01-05,,aktiv
6cc45425adca,2023-07-22,2024-07-21,abgelaufen
4d9e4bf7c128,2023-10-03,2024-10-02,gekündigt
40012a016865,2020-06-07,2021-06-07,gekündigt
b95a624c7df1,2022-06-23,2023-06-23,gekündigt
4fb6ad210a69,2023-05-27,2024-05-26,abgelaufen
a3be7fa496bf,2023-11-15,,aktiv
222af9c0bc0c,2021-06-23,,aktiv
29abdb6ba4c8,2020-01-06,2021-01-05,gekündigt
a5bcc1a37321,2022-09-28,2023-09-28,abgelaufen
38acc3067540,2020-12-27,2021-12-27,abgelaufen
33f36a4a5e40,2020-01-28,2021-01-27,abgelaufen
559e391595f1,2023-12-16,2024-12-15,gekündigt
6e5bd1a85ec5,2023-07-10,,aktiv
0b44de82a33b,2024-07-31,2025-07-31,abgelaufen
57a3a4e685de,2022-10-17,,aktiv
aff8b05bcfce,2024-03-18,2025-03-18,gekündigt
258da6117c69,2022-08-18,,aktiv
8a48efcb5889,2020-05-28,,aktiv
e508e10388e3,2023-04-10,2024-04-09,abgelaufen
611317928ab3,2022-07-20,2023-07-20,gekündigt
01dc893c8691,2023-02-10,2024-02-10,gekündigt
dc0c7903189e,2021-12-10,,aktiv
bf159577bef1,2021-05-05,,aktiv
1d8298504018,2020-02-12,2021-02-11,gekündigt
e5ec9a461c49,2022-10-22,2023-10-22,gekündigt
84b8c35de55c,2024-01-17,2025-01-16,gekündigt
92a3d073b309,2024-01-03,,aktiv
455cb3fae50e,2023-10-20,2024-10-19,abgelaufen
a71d34853882,2022-01-20,2023-01-20,gekündigt
2078536a5b16,2024-12-10,,aktiv
f4377e37b0f6,2020-11-23,,aktiv
8a03c6a3f9de,2024-12-29,,aktiv
e3498b09bfa4,2021-08-09,,aktiv
a5d089333f7f,2022-06-22,2023-06-22,gekündigt
429816c0d4f1,2020-02-08,2021-02-07,abgelaufen
a0d16999b0ab,2023-01-13,2024-01-13,gekündigt
54047a5b8703,2021-02-24,2022-02-24,gekündigt
20390723a7b5,2021-10-30,2022-10-30,gekündigt
148884491bf4,2024-02-03,,aktiv
9f52cfeea067,2021-04-29,2022-04-29,gekündigt
08363167c056,2023-12-06,2024-12-05,abgelaufen
7081463590ca,2021-09-08,2022-09-08,abgelaufen
13630b40ebef,2022-01-31,2023-01-31,abgelaufen
bb9a9eb62593,2021-11-09,,aktiv
376c4bf89a83,2024-01-04,2025-01-03,gekündigt
011207b15c1a,2024-09-17,2025-09-17,abgelaufen
c7951d0f89e5,2021-01-22,2022-01-22,gekündigt
ce89c743fa98,2021-05-17,2022-05-17,gekündigt
62daf36d4547,2023-01-18,,aktiv
55628c19ec65,2024-06-01,2025-06-01,gekündigt
e7bd70342e05,2023-10-31,2024-10-30,abgelaufen
c8340005ed8a,2020-02-14,2021-02-13,gekündigt
c97e658f17c8,2021-04-13,,aktiv
18a442241e13,2020-10-03,2021-10-03,abgelaufen
d39551e4a081,2020-06-30,,aktiv
0def2ded0821,2022-12-25,2023-12-25,abgelaufen
139e2c84e03d,2024-03-27,2025-03-27,gekündigt
2266d1f3e635,2020-10-30,2021-10-30,abgelaufen
262b3d6c5da0,2022-11-26,2023-11-26,abgelaufen
51cb08634ee9,2022-08-18,2023-08-18,abgelaufen
babde77cabdd,2024-10-22,2025-10-22,abgelaufen
6bff33ccfd0d,2024-07-03,2025-07-03,abgelaufen
1722b23652a5,2021-08-30,2022-08-30,gekündigt
91242382062b,2023-04-06,,aktiv
5985869f68e7,2022-05-27,2023-05-27,gekündigt
fe51e7b3ae56,2022-09-22,2023-09-22,abgelaufen
7406da797e9c,2022-07-01,2023-07-01,abgelaufen
56e087109c03,2023-05-04,2024-05-03,abgelaufen
2d16a7720c1f,2021-04-01,2022-04-01,abgelaufen
32fd1330b800,2022-10-26,,aktiv
b7da3aee9f4d,2024-04-14,2025-04-14,abgelaufen
ffce121a7c77,2024-10-08,2025-10-08,gekündigt
b7d385c93233,2022-07-29,2023-07-29,gekündigt
bcc0a1e16cab,2021-09-20,2022-09-20,gekündigt
15a72ff1e73b,2023-09-01,2024-08-31,gekündigt
3fb1b7010930,2021-05-01,2022-05-01,gekündigt
4cec55519a29,2024-05-16,2025-05-16,gekündigt
b4ee9734350e,2021-02-24,2022-02-24,gekündigt
6c91f62d6a87,2023-12-11,2024-12-10,gekündigt
11d87295bee4,2024-11-05,2025-11-05,gekündigt
33448ca70dfa,2020-11-12,2021-11-12,abgelaufen
09d48bd77056,2020-10-28,2021-10-28,gekündigt
c37bdb0e7c40,2020-11-13,2021-11-13,abgelaufen
def2261759f7,2021-03-31,2022-03-31,gekündigt
4201156d5a08,2020-03-03,2021-03-03,gekündigt
861141c3000f,2023-10-05,2024-10-04,gekündigt
70cf644f907e,2023-07-02,,aktiv
e8c3f98bea1c,2022-03-13,2023-03-13,abgelaufen
8680cf494b3f,2020-12-13,2021-12-13,gekündigt
beefc69ebf6a,2023-08-08,,aktiv
a63b74adaf61,2021-05-25,2022-05-25,gekündigt
6bc6b526083d,2021-03-03,2022-03-03,abgelaufen
e06ba05b3e03,2023-06-29,2024-06-28,gekündigt
5fd8f05f2e1c,2021-09-27,,aktiv
d16531393ad2,2021-01-27,,aktiv
92e56e529a1f,2023-02-17,2024-02-17,abgelaufen
85242b0acea6,2023-06-06,2024-06-05,gekündigt
ceefcca4bba1,2023-09-12,,aktiv
db3f93b71db7,2022-08-03,2023-08-03,gekündigt
88004dd5876f,2023-02-28,2024-02-28,abgelaufen
c9f8137cff9b,2021-08-25,,aktiv
1c9fecfd64da,2023-07-30,2024-07-29,gekündigt
0c67f35eee70,2022-06-10,2023-06-10,abgelaufen
44cbac6427ec,2021-09-27,,aktiv
f04acdeef022,2022-09-01,2023-09-01,gekündigt
b86ca3b16a0d,2020-08-28,2021-08-28,abgelaufen
e99f4a39dc07,2024-04-01,,aktiv
b1cd63b06fae,2021-12-15,,aktiv
b817ea65a88e,2021-03-24,2022-03-24,abgelaufen
5c7d8bd6a93b,2021-05-24,2022-05-24,abgelaufen
bc4154383b53,2020-12-25,2021-12-25,abgelaufen
e4c06d6597e7,2020-02-12,2021-02-11,abgelaufen
7371ac0e06fd,2020-05-31,2021-05-31,gekündigt
1867fc2163e6,2021-09-15,2022-09-15,gekündigt
781e8213ad16,2020-09-06,2021-09-06,abgelaufen
94d5b29dc8dc,2021-07-28,2022-07-28,abgelaufen
3e62b29ccb12,2024-05-18,2025-05-18,gekündigt
859fa50a617f,2024-10-24,2025-10-24,gekündigt
fb07e5192ace,2023-06-14,,aktiv
b7701804414b,2022-07-08,,aktiv
079847c8d7a8,2023-04-08,,aktiv
c82e10a5d8f1,2020-04-30,2021-04-30,abgelaufen
17d90eaeef32,2024-09-27,,aktiv
ef8ad7d792f0,2021-08-09,2022-08-09,abgelaufen
046f26f8df9f,2021-07-31,,aktiv
99ae48254986,2020-06-02,2021-06-02,gekündigt
5ec932051a66,2020-10-11,2021-10-11,abgelaufen
249d829db708,2024-09-28,,aktiv
51e1106b09c5,2023-07-15,2024-07-14,gekündigt
c5aa5e7ec648,2021-03-09,2022-03-09,gekündigt
f39a216fab29,2020-06-15,2021-06-15,gekündigt
4d2b82b97634,2023-11-24,2024-11-23,abgelaufen
6a4241eef420,2024-02-14,2025-02-13,gekündigt
b6831a2a2064,2021-05-20,2022-05-20,gekündigt
8155acc3fdf5,2020-02-27,,aktiv
d28e74980c4a,2022-07-02,2023-07-02,abgelaufen
f12bbc56c34f,2022-07-23,,aktiv
c9bffd73cc01,2024-03-01,2025-03-01,abgelaufen
34e1c2fec58d,2020-09-06,2021-09-06,abgelaufen
9c079829921a,2023-02-17,,aktiv
f26816f83e04,2022-10-05,,aktiv
dea6e35f8a01,2020-04-13,2021-04-13,gekündigt
8d9856ef7b26,2021-03-02,2022-03-02,gekündigt
b347214ff14b,2021-09-11,,aktiv
b52cc20f012e,2024-01-17,2025-01-16,abgelaufen
d980a4ee24c2,2020-07-05,2021-07-05,gekündigt
a47afaaef048,2020-10-22,,aktiv
32ec516a40f8,2023-12-14,2024-12-13,abgelaufen
86da9223e00c,2023-04-08,2024-04-07,gekündigt
425940da3376,2024-04-24,2025-04-24,gekündigt
c5e1d723caf9,2024-07-29,,aktiv
a70db8ad2a1f,2022-10-30,2023-10-30,abgelaufen
cdea0d82ebcb,2023-12-01,2024-11-30,abgelaufen
f3eb45e1fe58,2024-10-30,2025-10-30,abgelaufen
a9afc23a179b,2021-02-20,2022-02-20,gekündigt
82787f2e7cc4,2024-07-24,,aktiv
4849a837d695,2023-09-12,2024-09-11,abgelaufen
0c3aa804345e,2020-08-04,2021-08-04,gekündigt
c121810e959a,2023-07-25,2024-07-24,abgelaufen
59a4c5f50e5c,2022-12-13,2023-12-13,abgelaufen
f68545775bb6,2022-10-30,2023-10-30,gekündigt
398b24a72c8c,2023-12-14,,aktiv
742a3bff76e8,2024-07-16,2025-07-16,abgelaufen
d0537c2bc1c6,2021-01-31,2022-01-31,gekündigt
2a7c023e6893,2024-12-05,2025-12-05,gekündigt
ac483c43aa09,2024-08-18,,aktiv
fc26ef3b9ee5,2024-01-02,2025-01-01,abgelaufen
91feacaff658,2021-07-25,2022-07-25,abgelaufen
65edbeef7243,2022-05-25,2023-05-25,gekündigt
414b6351eb30,2024-06-13,2025-06-13,abgelaufen
5a08d0fdfdbc,2020-06-19,,aktiv
8d10a58dd48d,2021-11-05,,aktiv
8afabb6d5fe8,2023-06-25,2024-06-24,abgelaufen
f8cbdb12aa0b,2024-07-30,2025-07-30,abgelaufen
a469d92ebea6,2022-02-25,2023-02-25,abgelaufen
2e2f2b076de0,2022-01-22,,aktiv
be79034af001,2022-02-05,,aktiv
511ec99fdd51,2022-04-10,2023-04-10,gekündigt
8ac5cb58be49,2024-07-09,,aktiv
f8af70f2c58d,2023-02-17,2024-02-17,abgelaufen
94ac618c5c41,2024-11-28,,aktiv
fbc05f25b637,2021-03-08,,aktiv
df9126b5ed7d,2020-11-13,2021-11-13,gekündigt
069599007cea,2024-07-25,2025-07-25,abgelaufen
15fecdd06551,2021-07-04,,aktiv
538c41fcc7a4,2024-08-03,,aktiv
079d76aa1118,2022-01-26,,aktiv
dddb4fd70f7b,2020-05-01,2021-05-01,gekündigt
44f7f44adf1a,2021-03-10,,aktiv
49dba92a98f8,2023-07-06,2024-07-05,abgelaufen
783328b4a9bd,2022-06-20,2023-06-20,abgelaufen
f2f8699924d8,2024-01-07,2025-01-06,abgelaufen
b8ae6fae248b,2024-01-29,2025-01-28,gekündigt
aa53205098d9,2024-07-04,,aktiv
34d784447113,2022-01-22,2023-01-22,gekündigt
b8bb8946922c,2020-05-15,2021-05-15,gekündigt
4cec658d309c,2022-03-20,,aktiv
d72cc79a2f62,2022-03-27,2023-03-27,gekündigt
c86e63209725,2021-12-31,,aktiv
477666699351,2022-08-09,2023-08-09,gekündigt
74aeeee0c9d0,2021-10-18,2022-10-18,abgelaufen
6bee50a148ac,2021-10-24,2022-10-24,abgelaufen
ecfe201a6095,2023-03-24,,aktiv
729cb5643742,2023-07-26,,aktiv
021d4e828bc9,2024-12-11,,aktiv
349cd380ca82,2020-09-11,2021-09-11,abgelaufen
f094fd1fdb2f,2020-01-17,2021-01-16,gekündigt
0fcc56820441,2022-01-24,,aktiv
dd2f3a67b7c1,2022-02-06,2023-02-06,abgelaufen
1be1232529a3,2021-09-24,,aktiv
79a1de6bf450,2021-12-05,2022-12-05,abgelaufen
df9c14fb9b05,2024-01-06,2025-01-05,gekündigt
e005ae95d84c,2022-07-15,,aktiv
df02c1c97693,2021-05-15,2022-05-15,abgelaufen
7209839a4e5a,2020-09-10,2021-09-10,gekündigt
a0c295713bb3,2021-02-04,2022-02-04,gekündigt
e6c06bae62dd,2023-02-09,2024-02-09,abgelaufen
8f8e151dbbad,2022-12-14,,aktiv
0b5e841fae7c,2022-05-09,,aktiv
4fba772d1da2,2020-12-29,2021-12-29,abgelaufen
272cb9b265bc,2021-05-01,2022-05-01,gekündigt
3d0ef9bb997c,2021-01-02,2022-01-02,gekündigt
0ff01da87e40,2022-01-26,2023-01-26,gekündigt
d12ddb157bac,2023-06-09,,aktiv
04b731d4f246,2022-03-13,2023-03-13,gekündigt
84fb1d8aff78,2022-06-07,2023-06-07,abgelaufen
a84f925b4349,2024-04-19,,aktiv
8d3d7ba6c4c8,2023-05-29,2024-05-28,gekündigt
42ea0db8ea0f,2020-03-04,2021-03-04,abgelaufen
cf8fcb956215,2023-05-16,,aktiv
b89156c8c9c5,2021-10-03,2022-10-03,gekündigt
cd7900969996,2024-05-22,,aktiv
e8b08740f56c,2021-11-03,2022-11-03,gekündigt
7a1252f7767b,2024-01-11,2025-01-10,abgelaufen
f3803b0889ce,2020-10-10,,aktiv
e5e83390c77b,2023-04-07,2024-04-06,gekündigt
9667362d2dab,2020-01-26,2021-01-25,gekündigt
ecdbf4b1bcd2,2023-10-07,,aktiv
996273940abb,2022-05-25,2023-05-25,gekündigt
38c77a488059,2022-03-22,,aktiv
2b47067bf491,2021-12-13,,aktiv
25d7a2514695,2024-06-29,2025-06-29,abgelaufen
b5d0a6439f3b,2020-09-20,2021-09-20,gekündigt
3b19585f0d86,2021-02-21,2022-02-21,gekündigt
7f00758ed69f,2020-02-01,2021-01-31,gekündigt
51c4c223fc08,2021-08-27,2022-08-27,abgelaufen
068d21f69abf,2024-04-20,2025-04-20,abgelaufen
595171c004ea,2024-08-15,,aktiv
e284b41a3c33,2021-08-16,,aktiv
2cbb48bb998e,2020-02-29,2021-02-28,gekündigt
0bfa4c90a031,2020-08-25,,aktiv
c039f8d51732,2023-03-29,2024-03-28,abgelaufen
d4ff69e1646d,2023-02-09,2024-02-09,gekündigt
a3eecadcfc19,2023-04-09,2024-04-08,abgelaufen
356492feceb5,2024-01-01,,aktiv
0ba7c306ae4b,2024-09-05,,aktiv
54e5ed03f946,2024-09-07,2025-09-07,gekündigt
ab1dae7ea08f,2023-09-22,,aktiv
6c6519e2a1d5,2024-05-08,2025-05-08,gekündigt
56ae7b279a86,2022-06-12,2023-06-12,abgelaufen
27912cb9ae10,2021-09-12,2022-09-12,abgelaufen
81b5e018794b,2024-01-01,2024-12-31,abgelaufen
57874101737a,2021-06-04,2022-06-04,gekündigt
fe23854c1f49,2020-05-01,2021-05-01,gekündigt
49e5ac813b9d,2022-11-17,2023-11-17,abgelaufen
7923d059a2f1,2021-10-06,2022-10-06,abgelaufen
0b64a351a7b1,2024-06-18,2025-06-18,gekündigt
df24f91890c4,2022-12-17,2023-12-17,abgelaufen
31bc9ecbe9a9,2024-12-02,2025-12-02,abgelaufen
5a15f4d73cbc,2020-09-24,2021-09-24,abgelaufen
da426dda0ec9,2020-03-20,2021-03-20,gekündigt
1530abaac010,2020-03-25,2021-03-25,gekündigt
9e926ad08116,2022-03-04,,aktiv
c72c2c8513e7,2020-12-24,2021-12-24,abgelaufen
0d9bfafba79d,2021-11-15,2022-11-15,abgelaufen
eb5774fe17ba,2022-10-27,,aktiv
56c70d0a0639,2023-05-14,2024-05-13,abgelaufen
66513b92a784,2020-01-27,,aktiv
d6ccfecf5779,2020-04-13,2021-04-13,gekündigt
2eb6d53b337d,2023-01-13,2024-01-13,abgelaufen
4da66c180234,2024-07-21,2025-07-21,abgelaufen
b2cce9547275,2021-09-07,2022-09-07,gekündigt
68bf80045d53,2022-03-02,2023-03-02,gekündigt
f69a4b138869,2020-08-21,2021-08-21,abgelaufen
6d3977cc9e58,2023-08-18,,aktiv
85f92d3070e9,2024-07-07,,aktiv
f7bec4bd808b,2021-01-29,2022-01-29,gekündigt
6c279a78fdc6,2021-01-23,,aktiv
bba77b963a81,2023-03-06,2024-03-05,gekündigt
26d4f462758b,2020-07-25,2021-07-25,abgelaufen
989ede0a6679,2020-04-22,2021-04-22,gekündigt
cae3c621c4a7,2021-08-08,,aktiv
426dae27842b,2020-05-11,,aktiv
409268541edf,2022-02-11,,aktiv
fa3b44b12fdc,2021-09-29,2022-09-29,gekündigt
32d7fb2efd6e,2022-08-20,2023-08-20,abgelaufen
541bfd9a2880,2024-03-12,2025-03-12,gekündigt
ff8713633767,2021-03-19,,aktiv
33c3b9601a75,2023-01-07,2024-01-07,abgelaufen
f595f4cc2bfc,2024-11-04,,aktiv
4a98793b6909,2021-02-26,2022-02-26,abgelaufen
ee7c84b21200,2022-07-13,2023-07-13,gekündigt
81fc9416d83d,2023-10-28,2024-10-27,gekündigt
d3a38fd76202,2024-03-31,2025-03-31,gekündigt
376faa7f991c,2023-10-01,,aktiv
81d739b7d190,2021-10-24,,aktiv
35cd87d07247,2021-02-06,2022-02-06,gekündigt
e6705068f231,2023-06-19,2024-06-18,gekündigt
f2c1e3fc5f0f,2022-03-18,,aktiv
61029d94cb6a,2024-03-27,2025-03-27,gekündigt
ac922b35ae37,2023-03-04,2024-03-03,gekündigt
a58a8bb6c943,2024-09-29,2025-09-29,gekündigt
7c819d47ef32,2023-06-12,,aktiv
7896e7b25c5c,2022-04-10,2023-04-10,gekündigt
69eb9476881f,2023-06-16,2024-06-15,gekündigt
b8d9771376a3,2020-01-21,2021-01-20,gekündigt
cd07409f5a5a,2024-02-25,2025-02-24,gekündigt
698b579ef751,2020-02-05,2021-02-04,gekündigt
b4f7fb35a9c8,2024-12-03,,aktiv
f35486a007ab,2021-07-15,2022-07-15,gekündigt
c1625fd07821,2021-05-14,2022-05-14,abgelaufen
4dde57e5efca,2020-10-01,2021-10-01,abgelaufen
e58f1813bdd2,2024-11-28,,aktiv
1cd4b2d506d9,2023-08-06,2024-08-05,abgelaufen
f495dddb7710,2020-10-15,2021-10-15,gekündigt
9384ca741fd6,2024-07-17,2025-07-17,abgelaufen
9cfef98b87ae,2022-09-24,2023-09-24,gekündigt
3f49d68ee941,2023-05-29,2024-05-28,abgelaufen
d4ef5e549c7f,2023-02-10,,aktiv
fcf71b7b7d59,2024-08-24,2025-08-24,abgelaufen
815f1d7107e0,2022-09-09,,aktiv
3bd91aa7ee3e,2023-11-27,2024-11-26,gekündigt
4e3f8fa356e6,2020-09-30,2021-09-30,abgelaufen
00c413857431,2024-09-17,2025-09-17,gekündigt
f353d347d5bc,2021-10-05,,aktiv
a610d02d7980,2020-05-25,,aktiv
ce50dfdea174,2021-06-27,2022-06-27,abgelaufen
f31c4fe8b355,2024-11-07,2025-11-07,gekündigt
7dd469ccbf54,2022-08-03,2023-08-03,abgelaufen
3e7de4ba433f,2023-01-24,,aktiv
0a70777806e7,2022-07-23,2023-07-23,abgelaufen
7664443412f6,2021-08-17,2022-08-17,gekündigt
7e87d35df3c3,2020-03-09,,aktiv
ec5a92881766,2022-12-18,2023-12-18,abgelaufen
8273d40bcb19,2020-02-02,2021-02-01,gekündigt
3bb50ecbe012,2024-10-28,2025-10-28,abgelaufen
3605da9bedb4,2020-04-30,2021-04-30,abgelaufen
257b4e53e3bd,2020-02-10,,aktiv
8c5e79eaf3f3,2022-03-11,,aktiv
543fbcc807a0,2024-04-26,2025-04-26,gekündigt
a22babf04c6e,2024-01-15,,aktiv
b2562680a592,2022-12-31,,aktiv
2b0e944ad901,2024-08-04,2025-08-04,gekündigt
5b1b647708a6,2020-09-01,2021-09-01,gekündigt
40816b6427d9,2020-02-10,,aktiv
6904951e8f0f,2024-04-08,,aktiv
58f17f0264a5,2020-08-29,2021-08-29,abgelaufen
57bec483ca32,2022-04-10,,aktiv
a067f1eb343e,2024-01-06,2025-01-05,gekündigt
edd52394a496,2022-12-13,,aktiv
a02ddccd7359,2024-03-23,,aktiv
c17b8088f3c0,2022-04-09,2023-04-09,abgelaufen
8613958eb364,2024-12-16,2025-12-16,abgelaufen
ec859d248b53,2022-03-07,2023-03-07,abgelaufen
c81947a96f95,2022-08-21,2023-08-21,abgelaufen
6cf89988bb90,2023-10-05,2024-10-04,gekündigt
7869a8dc7c2a,2020-11-16,,aktiv
828091f43dc0,2022-07-22,,aktiv
98ccbb7e56a2,2024-06-29,2025-06-29,abgelaufen
67e7be29c58e,2020-04-07,2021-04-07,gekündigt
d2e124aa4961,2023-12-22,,aktiv
74a246edb977,2022-12-02,2023-12-02,gekündigt
cb6fbcbcdc7c,2023-06-18,2024-06-17,abgelaufen
c51b33e0a54a,2023-01-02,2024-01-02,gekündigt
37ee4da6edb5,2020-01-24,2021-01-23,gekündigt
915890665765,2024-04-18,,aktiv
67ae47850d34,2023-07-28,,aktiv
d72062c04941,2020-05-10,2021-05-10,abgelaufen
e3f4752a7274,2022-11-14,2023-11-14,gekündigt
1dfe6575ebf4,2022-12-23,,aktiv
bb7859bab75b,2020-02-04,,aktiv
4ef89223ba2b,2023-04-10,2024-04-09,gekündigt
2bf762d75305,2022-01-25,,aktiv
131c22a50df1,2021-04-21,2022-04-21,gekündigt
591a6b4648ea,2022-04-17,2023-04-17,gekündigt
894736df4fae,2021-08-21,2022-08-21,abgelaufen
c1195fb08bae,2023-03-23,2024-03-22,abgelaufen
660194bf105a,2024-08-04,,aktiv
ddee8494ff53,2022-02-10,2023-02-10,abgelaufen
20d13d68b7b6,2023-12-18,2024-12-17,gekündigt
cdae01221f5e,2023-12-07,,aktiv
01ec6a33b336,2022-05-03,2023-05-03,gekündigt
6d154873cfec,2021-07-29,2022-07-29,abgelaufen
a9f1e4beca31,2021-01-10,,aktiv
5001caa53efd,2024-02-01,2025-01-31,abgelaufen
5f5d0bb402ce,2021-07-10,2022-07-10,gekündigt
4856dca5e38c,2024-10-01,2025-10-01,gekündigt
22b97d03b84e,2023-04-15,2024-04-14,gekündigt
e7dfd28aba6a,2021-09-12,,aktiv
9677c6775535,2023-11-27,2024-11-26,abgelaufen
2ee3751bcff1,2020-11-03,2021-11-03,gekündigt
2efa7ff688a0,2021-01-11,2022-01-11,abgelaufen
38a1127c8043,2024-08-29,2025-08-29,gekündigt
312de2794541,2024-10-19,2025-10-19,abgelaufen
ae3f08f01354,2022-11-02,2023-11-02,abgelaufen
098a16e80b89,2020-01-21,2021-01-20,abgelaufen
de0644687749,2024-12-14,,aktiv
cbb10b0f9d8c,2021-07-14,2022-07-14,gekündigt
e466ded598d8,2023-02-08,2024-02-08,gekündigt
bb43727bd331,2020-03-21,2021-03-21,gekündigt
b70b8ba2088b,2020-12-10,,aktiv
0f5506a44b36,2020-04-28,2021-04-28,gekündigt
ad3701bc9532,2022-08-17,,aktiv
895a5bad414b,2022-07-09,2023-07-09,abgelaufen
3bf78de9c693,2024-10-31,2025-10-31,abgelaufen
4dabd422345f,2020-09-17,2021-09-17,gekündigt
957392cb0b03,2023-04-09,2024-04-08,abgelaufen
084611626545,2021-08-04,2022-08-04,gekündigt
e9504b728921,2023-11-17,,aktiv
b31f14e322b9,2023-05-06,2024-05-05,abgelaufen
62e9474fdf09,2023-05-17,,aktiv
8e86accf46a2,2023-01-22,,aktiv
2aa584ca0caa,2023-02-10,2024-02-10,gekündigt
096dde7fb21c,2022-03-08,2023-03-08,abgelaufen
3d04aadce57c,2021-03-07,2022-03-07,gekündigt
2ff11ed02bab,2021-01-25,2022-01-25,abgelaufen
d137d42cb02a,2024-07-21,,aktiv
507368e396d4,2020-03-17,2021-03-17,abgelaufen
bb91785b7503,2021-10-05,2022-10-05,gekündigt
ea68bd8d0d26,2021-11-21,,aktiv
c016a33f91f2,2021-10-24,2022-10-24,gekündigt
37fb9978ea57,2022-02-12,,aktiv
95a508a08a67,2021-06-19,2022-06-19,gekündigt
98f697f0e403,2024-04-15,2025-04-15,gekündigt
